Price,Close,High,Low,Open,Volume
Ticker,AMD,AMD,AMD,AMD,AMD
Date,,,,,
2021-09-30,102.9000015258789,104.44000244140625,101.98999786376953,102.08000183105469,57636700
2021-10-01,102.44999694824219,103.0,100.63999938964844,102.5999984741211,41491600
2021-10-04,100.33999633789062,101.8499984741211,99.81999969482422,101.73999786376953,41967100
2021-10-05,101.80999755859375,102.87000274658203,100.61000061035156,100.91999816894531,31455200
2021-10-06,103.63999938964844,103.72000122070312,100.3499984741211,100.44999694824219,39071700
2021-10-07,106.44999694824219,107.94999694824219,104.45999908447266,104.5999984741211,41543100
2021-10-08,105.05999755859375,107.27999877929688,104.88999938964844,106.55000305175781,30623000
2021-10-11,104.68000030517578,107.19999694824219,104.0199966430664,104.62000274658203,31284400
2021-10-12,105.04000091552734,106.04000091552734,104.33999633789062,105.16999816894531,34039900
2021-10-13,109.16000366210938,109.87999725341797,106.25,106.27999877929688,55631900
2021-10-14,111.98999786376953,112.22000122070312,109.62999725341797,110.5,46900200
2021-10-15,112.12000274658203,112.83999633789062,111.11000061035156,112.51000213623047,34203000
2021-10-18,116.43000030517578,116.87999725341797,111.37000274658203,111.9000015258789,47537800
2021-10-19,116.33000183105469,117.16999816894531,114.47000122070312,116.16000366210938,39593900
2021-10-20,116.38999938964844,118.30000305175781,115.41999816894531,116.29000091552734,34244800
2021-10-21,119.33000183105469,119.68000030517578,116.26000213623047,116.5,34794900
2021-10-22,119.81999969482422,121.55999755859375,118.37000274658203,120.83000183105469,38992700
2021-10-25,122.36000061035156,123.45999908447266,118.5999984741211,120.5199966430664,47834100
2021-10-26,122.93000030517578,127.19999694824219,122.58000183105469,122.98999786376953,59458900
2021-10-27,122.27999877929688,128.0800018310547,121.05000305175781,121.62999725341797,98245300
2021-10-28,121.16000366210938,123.5,120.26000213623047,122.86000061035156,58002500
2021-10-29,120.2300033569336,122.56999969482422,119.87999725341797,120.94999694824219,43320100
2021-11-01,125.2300033569336,125.66999816894531,118.12999725341797,119.44999694824219,54559800
2021-11-02,127.62999725341797,128.4600067138672,124.19999694824219,124.9800033569336,53491900
2021-11-03,130.52999877929688,130.60000610351562,126.79000091552734,127.75,59537800
2021-11-04,137.5,139.0,130.77000427246094,132.00999450683594,84825200
2021-11-05,136.33999633789062,141.22000122070312,134.4199981689453,139.19000244140625,64920600
2021-11-08,150.16000366210938,153.60000610351562,137.6999969482422,137.6999969482422,141493800
2021-11-09,148.9199981689453,155.64999389648438,143.88999938964844,154.00999450683594,98442600
2021-11-10,139.8699951171875,146.3000030517578,138.52000427246094,143.92999267578125,82989200
2021-11-11,146.00999450683594,146.47000122070312,140.83999633789062,142.9600067138672,67934800
2021-11-12,147.88999938964844,148.58999633789062,144.25,146.02999877929688,52162100
2021-11-15,146.49000549316406,148.97999572753906,142.86000061035156,148.0,52271300
2021-11-16,152.4499969482422,153.0800018310547,145.33999633789062,145.92999267578125,53100800
2021-11-17,151.33999633789062,154.66000366210938,149.69000244140625,151.97999572753906,54527500
2021-11-18,155.02000427246094,158.88999938964844,152.55999755859375,157.07000732421875,60612700
2021-11-19,155.41000366210938,156.9199981689453,153.4499969482422,155.75999450683594,41668900
2021-11-22,152.52000427246094,161.8800048828125,152.38999938964844,157.13999938964844,58674100
2021-11-23,149.9199981689453,152.66000366210938,145.3000030517578,150.41000366210938,62852700
2021-11-24,157.8000030517578,157.92999267578125,147.19000244140625,149.4600067138672,60677100
2021-11-26,154.80999755859375,158.10000610351562,152.80999755859375,155.8000030517578,36245100
2021-11-29,161.91000366210938,162.50999450683594,156.10000610351562,157.5,57438900
2021-11-30,158.3699951171875,164.4600067138672,155.67999267578125,163.27999877929688,75182500
2021-12-01,149.11000061035156,160.8800048828125,148.9199981689453,160.3699951171875,64039100
2021-12-02,150.67999267578125,152.52999877929688,146.47000122070312,147.67999267578125,56161200
2021-12-03,144.00999450683594,152.3800048828125,140.72000122070312,151.64999389648438,65910000
2021-12-06,139.05999755859375,141.30999755859375,134.1999969482422,141.13999938964844,66776500
2021-12-07,144.85000610351562,145.75999450683594,141.0,143.89999389648438,53359400
2021-12-08,145.24000549316406,147.0399932861328,142.6999969482422,144.9600067138672,40977500
2021-12-09,138.10000610351562,146.69000244140625,137.8000030517578,145.16000366210938,53019900
2021-12-10,138.5500030517578,141.3699951171875,135.82000732421875,141.2899932861328,42224300
2021-12-13,133.8000030517578,139.39999389648438,133.4199981689453,138.25,42174000
