Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2021-09-30,132.63726806640625,134.95080344146203,132.37301675993004,133.6917674609565,35294000
2021-10-01,135.81919860839844,136.42483531421783,132.74875005379187,132.9249176053229,28388000
2021-10-04,133.1343994140625,135.0602749346136,130.5481538555014,135.05977376838186,31530000
2021-10-05,135.53504943847656,136.71446079564365,133.36831009840782,133.36831009840782,24126000
2021-10-06,136.7064971923828,137.2021506415427,133.85250710648745,133.99085937299006,19764000
2021-10-07,138.5293731689453,139.49375385855888,137.9098100972854,138.20839891854007,18250000
2021-10-08,139.39576721191406,139.65553842139337,138.77207331943256,139.24648039582627,18924000
2021-10-11,138.19296264648438,140.10008266396417,138.15215556009937,139.1409718587696,16584000
2021-10-12,136.06851196289062,139.0364642109256,135.60769716538297,138.97922494744452,22536000
2021-10-13,137.24990844726562,137.89685334211552,136.33076952555135,137.10062164906907,16380000
2021-10-14,140.74537658691406,140.98374951124026,138.68215079644133,139.29225244583967,21426000
2021-10-15,141.0071258544922,141.52964485106753,140.39949971216296,141.52964485106753,21250000
2021-10-18,142.28656005859375,142.3246335093071,140.54780160401805,140.54780160401805,16564000
2021-10-19,143.14401245117188,143.4276573857957,142.42142177871906,142.61601098187455,15316000
2021-10-20,141.74362182617188,143.56774550029272,141.24300229778405,143.54261125325104,17940000
2021-10-21,142.10740661621094,142.17608157946873,140.96928843365848,141.52167995037135,14850000
2021-10-22,137.9715118408203,140.8911852990357,136.52387015871884,139.68937328802986,30182000
2021-10-25,138.11880493164062,138.5495649598508,136.10385822938275,138.1561342275559,21082000
2021-10-26,139.01356506347656,140.17555706391943,138.35020314354995,139.94316777594514,28258000
2021-10-27,145.73721313476562,148.41502027601456,139.24296434752,139.24296434752,51850000
2021-10-28,145.4401397705078,146.72953443180543,144.0810829892204,146.6046225205528,32418000
2021-10-29,147.57154846191406,147.91244789577797,144.48219195392187,144.83402592658305,28954000
2021-11-01,143.0962371826172,147.69993564061997,142.90265030854982,147.466528825876,32272000
2021-11-02,145.17538452148438,146.2278944337264,143.9591451078589,144.12674725768434,21150000
2021-11-03,146.09800720214844,146.21795300074038,144.36969728607374,145.58543558296935,17886000
2021-11-04,147.98208618164062,149.24311166529603,145.9437366095947,146.5060755503755,24700000
2021-11-05,148.53746032714844,149.86094940683304,147.95123243674595,148.64943302826856,20408000
2021-11-08,148.64743041992188,150.3224951051992,148.41701543669453,149.2928718111137,18388000
2021-11-09,148.544921875,149.66958453628757,146.81163075089745,149.0400741457261,16876000
2021-11-10,145.93479919433594,147.9990120919586,144.63992213861974,147.31201939298745,22708000
2021-11-11,146.05621337890625,147.80218561484364,146.0029682572251,146.41351457051854,12464000
2021-11-12,148.94003295898438,149.15302861433008,145.76358053254611,147.1345891444526,17048000
2021-11-15,148.6837921142578,149.76766311212003,147.95175509764059,149.29290668756354,16248000
2021-11-16,148.3732452392578,149.1261792676351,147.65066973931502,148.46729744865996,17254000
2021-11-17,148.35931396484375,148.92066582284028,147.86267331175273,148.5255341332763,15290000
2021-11-18,149.99855041503906,150.89530403118218,148.29611877271375,148.4429149462275,26658000
2021-11-19,149.24560546875,151.13416711023524,149.18090945658543,150.28816803661073,19766000
2021-11-22,146.38516235351562,150.0338807942777,146.31249324053547,149.43396955061166,24608000
2021-11-23,146.065185546875,146.99776496899395,144.20648111751487,146.41951014337795,18126000
2021-11-24,146.02584838867188,146.30701785221396,144.51451316484923,145.66008813373253,16464000
2021-11-26,142.13278198242188,144.6120362071691,141.81379726121764,144.33186908963074,16992000
2021-11-29,145.42520141601562,146.16967635756464,143.6182539237073,143.6182539237073,26276000
2021-11-30,141.78045654296875,145.93726633862408,141.39627462335028,144.7645828074868,41590000
2021-12-01,140.95037841796875,145.80851691875938,140.8329384617755,143.5326450766273,28476000
2021-12-02,143.09872436523438,143.99298726762706,140.31738814135184,141.15542929819978,21250000
2021-12-03,141.8486328125,144.52844488460605,140.484594860374,143.8143284858745,26688000
2021-12-06,143.11862182617188,143.6710133953138,139.98397849653898,142.89718225644546,22198000
2021-12-07,147.33863830566406,147.60090014633772,145.01564140883826,145.26197223608517,23258000
2021-12-08,148.0194091796875,148.45334322612376,146.50606931830504,147.63223546394724,18964000
2021-12-09,147.40782165527344,148.8997482268749,146.83354580093462,147.4774837736384,18580000
2021-12-10,147.97415161132812,148.69572486152032,146.6628574241668,148.39715120591495,21634000
2021-12-13,146.01290893554688,147.8621517160775,145.6700352741304,147.74421058773623,24104000
2021-12-14,144.287109375,144.75638330774763,141.57195722230037,144.08755405214228,24778000
2021-12-15,146.67379760742188,146.82183910312324,142.03278480096245,143.68544910597015,27280000
2021-12-16,144.15570068359375,147.85119424013806,143.4132153034411,147.3789285852678,27400000
2021-12-17,142.1298065185547,143.77909925836724,141.11959193513306,142.0417227442369,43404000
2021-12-20,141.73019409179688,141.93820845767448,139.5888322167068,140.01640295898017,20264000
2021-12-21,143.54061889648438,144.00993830479396,141.06683193665697,142.47515464612763,19548000
2021-12-22,146.2562713623047,146.6085912683666,143.28434004038715,143.4207028334614,18438000
2021-12-23,146.4488525390625,147.87221034748785,146.25810561382727,146.3960933974807,13818000
2021-12-27,147.36599731445312,147.7267914671535,146.55583926124967,146.76833375906438,13256000
2021-12-28,145.75762939453125,147.67504612585356,145.2475484016603,147.67504612585356,18624000
2021-12-29,145.81385803222656,146.48990096865066,144.8185721761895,145.73921463039517,17022000
2021-12-30,145.31423950195312,146.36924018019693,145.07138644952903,145.75962449779087,12978000
